Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
NSC, 53.23B, 277.00$,  9.70%, 14.55%,2024-11-05, 3.84%,170.77%,2024-11-18,13,-6.2419%
PCTY, 10.85B, 213.79$, 21.26%, 33.97%,2024-11-05, 4.92%,102.35%,2024-11-14,9,-7.4840%
PFGC, 12.17B,  87.62$,  6.92%, 20.81%,2024-11-05, 2.07%,215.88%,2024-11-14,9,-5.0445%
PH, 83.38B, 709.46$, 11.37%, 27.39%,2024-11-05, 3.76%,198.76%,2024-12-03,28,-1.8282%
PNC, 70.02B, 204.97$,  8.86%, 24.43%,2024-11-05, 2.38%,119.73%,2024-12-03,28,1.4392%
RF, 20.13B,  26.31$, 10.70%, 27.45%,2024-11-05, 4.90%,168.08%,2024-12-02,27,0.1140%
ROK, 30.41B, 294.00$,  8.62%,  8.29%,2024-11-05, 3.74%,191.95%,2024-11-07,2,-7.4354%
SRE, 46.16B,  88.26$,  5.21%, 15.48%,2024-11-05, 7.66%,185.40%,2024-12-03,28,3.6710%
STLD, 19.24B, 154.32$, 16.24%, 20.10%,2024-11-05, 3.77%,214.34%,2024-11-12,7,-8.0482%
TFC, 54.81B,  47.00$,  8.68%, 18.69%,2024-11-05, 4.26%,337.28%,2024-12-02,27,-1.2128%
URI, 41.73B, 880.32$,  6.98%, 25.08%,2024-11-05, 2.06%,213.53%,2024-11-17,12,-5.3821%
SYK,140.35B, 390.08$,  5.69%, 12.27%,2024-11-14, 2.07%,138.15%,2024-12-04,20,-1.9560%
HPE, 21.11B,  23.95$, 10.46%, 25.62%,2024-12-05, 5.30%,164.53%,2024-12-09,4,-8.4760%
LULU, 41.14B, 399.60$, 22.88%, 24.97%,2024-12-05, 5.66%,390.85%,2024-12-17,12,-6.8894%
AVERAGE,,,,,,,,,27.99,2.2251% (33.2365%)
